Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,623.48,+$623.48,nov_2025.pdf
Nov 6,OASISBATCH PAYROLL Direct deposit,203.17,+$203.17,nov_2025.pdf
Nov 27,From Savings Transfer,100.0,+$100.00,nov_2025.pdf
Nov 27,From Savings Transfer,44.0,+$44.00,nov_2025.pdf
Nov 28,Cash App Loan drawdown (#36XWT42AD),122.25,+$122.25,nov_2025.pdf
Nov 28,sale of BTC 0.00025499 Bitcoin sale,22.01,+$22.01,nov_2025.pdf
Nov 28,From Judy Wagner Cash App payment,60.0,+$60.00,nov_2025.pdf
Nov 28,From Judy Wagner Cash App payment,5.0,+$5.00,nov_2025.pdf
Nov 28,sale of BTC 0.00001635 Bitcoin sale,1.22,+$1.22,nov_2025.pdf
Nov 28,sale of BTC 0.0004397 Bitcoin sale,38.08,+$38.08,nov_2025.pdf
Nov 29,Cash App Loan drawdown (#5B4E2DZJD),27.75,+$27.75,nov_2025.pdf
