Date,Description,Amount,BTC_Amount,Type,Notes
2025-01-10,sale of BTC 0.00013744,$12.66,0.00013744,Bitcoin Sale,Short-term capital gain
2025-01-10,sale of BTC 0.00013353,$12.31,0.00013353,Bitcoin Sale,Short-term capital gain
2025-01-21,sale of BTC 0.00001113,$1.13,0.00001113,Bitcoin Sale,Short-term capital gain
2025-03-26,sale of BTC 0.00079717,$67.55,0.00079717,Bitcoin Sale,Short-term capital gain
2025-05-28,sale of BTC 0.00029592,$29.99,0.00029592,Bitcoin Sale,Short-term capital gain
2025-06-24,sale of BTC 0.00556344,$574.75,0.00556344,Bitcoin Sale,Short-term capital gain
2025-09-08,sale of BTC 0.00233357,$255.45,0.00233357,Bitcoin Sale,Short-term capital gain
2025-09-16,sale of BTC 0.00215839,$245.62,0.00215839,Bitcoin Sale,Short-term capital gain
2025-09-18,sale of BTC 0.00196745,$225.98,0.00196745,Bitcoin Sale,Short-term capital gain
2025-09-20,sale of BTC 0.00173935,$196.00,0.00173935,Bitcoin Sale,Short-term capital gain
2025-09-23,sale of BTC 0.0015307,$166.60,0.0015307,Bitcoin Sale,Short-term capital gain
2025-09-25,sale of BTC 0.00138109,$147.00,0.00138109,Bitcoin Sale,Short-term capital gain
2025-09-27,sale of BTC 0.00129259,$137.20,0.00129259,Bitcoin Sale,Short-term capital gain
2025-09-29,sale of BTC 0.00114834,$127.40,0.00114834,Bitcoin Sale,Short-term capital gain
2025-10-01,sale of BTC 0.00532366,$609.15,0.00532366,Bitcoin Sale,Short-term capital gain
2025-10-02,sale of BTC 0.00261477,$304.58,0.00261477,Bitcoin Sale,Short-term capital gain
2025-10-08,sale of BTC 0.00089875,$107.80,0.00089875,Bitcoin Sale,Short-term capital gain
2025-10-16,sale of BTC 0.00111522,$117.60,0.00111522,Bitcoin Sale,Short-term capital gain
2025-10-23,sale of BTC 0.00089949,$96.01,0.00089949,Bitcoin Sale,Short-term capital gain
2025-10-29,sale of BTC 0.00364334,$393.00,0.00364334,Bitcoin Sale,Short-term capital gain
2025-11-28,sale of BTC 0.00025499,$22.01,0.00025499,Bitcoin Sale,Short-term capital gain
2025-11-28,sale of BTC 0.00001635,$1.22,0.00001635,Bitcoin Sale,Short-term capital gain
2025-11-28,sale of BTC 0.0004397,$38.08,0.0004397,Bitcoin Sale,Short-term capital gain
2025-12-02,sale of BTC 0.00082817,$73.53,0.00082817,Bitcoin Sale,Short-term capital gain
2025-12-05,sale of BTC 0.00022539,$18.99,0.00022539,Bitcoin Sale,Short-term capital gain
2025-12-06,sale of BTC 0.00027985,$23.79,0.00027985,Bitcoin Sale,Short-term capital gain
2025-12-29,sale of BTC 0.00052771,$44.12,0.00052771,Bitcoin Sale,Short-term capital gain
